director_name,id,gender
Ang Lee,4867,Male
Jon M. Chu,4868,Male
Breck Eisner,4869,Male
Peter Weir,4871,Male
Bill Condon,4872,Male
Louis Leterrier,4873,Male
Alejandro González Iñárritu,4874,Male
Paul Greengrass,4876,Male
Mark Osborne,4877,Male
Peyton Reed,4878,Male
Tim Johnson,4879,Male
Phillip Noyce,4880,Male
Darren Aronofsky,4881,Male
Alfonso Cuarón,4882,Male
Ralph Zondag,4883,Male
Tom McGrath,4884,Male
Chris Columbus,4885,Male
Robert Schwentke,4886,Male
Carlos Saldanha,4887,Male
Guy Ritchie,4888,Male
Paul Verhoeven,4889,Male
Tony Gilroy,4891,Male
Joel Schumacher,4892,Male
John Woo,4893,Male
Tim Story,4894,Male
Mark Steven Johnson,4895,Male
Neill Blomkamp,4896,Male
José Padilha,4898,Male
James L. Brooks,4899,Male
James Mangold,4900,Male
George Lucas,4901,Male
Thomas Langmann,4902,Male
Roger Donaldson,4904,Male
Josh Trank,4906,Male
Brad Peyton,4907,Male
Roger Spottiswoode,4908,Male
Steven Soderbergh,4909,Male
Michel Gondry,4911,Male
Raja Gosnell,4913,Male
Will Finn,4914,Male
Jan de Bont,4915,Male
Len Wiseman,4916,Male
Frank Coraci,4917,Male
Michael Mann,4918,Male
Bo Welch,4919,Male
Ron Clements,4920,Male
Peter Chelsom,4921,Male
Dominic Sena,4922,Male
Tony Scott,4923,Male
Paul Weitz,4924,Male
Adam McKay,4925,Male
Chuck Russell,4926,Male
Quentin Tarantino,4927,Male
Gary Trousdale,4928,Male
Mark Dindal,4929,Male
Simon West,4930,Male
Spike Jonze,4932,Male
Chris Wedge,4933,Male
Florian Henckel von Donnersmarck,4934,Male
Peter Hyams,4935,Male
Tom Tykwer,4936,Male
Pitof,4937,Male
Patrick Hughes,4939,Male
Ericson Core,4940,Male
Ron Underwood,4942,Male
Steve Martino,4943,Male
David Mamet,4944,Male
Zhang Yimou,4945,Male
Ash Brannon,4946,Male
Frank Oz,4947,Male
Jay Roach,4948,Male
Luc Besson,4949,Male
Michael Patrick King,4950,Male
Don Michael Paul,4951,Male
Wally Pfister,4953,Male
Mark Waters,4955,Male
John Moore,4956,Male
John Lee Hancock,4957,Male
Renny Harlin,4958,Male
Ben Stiller,4960,Male
Tony Bancroft,4961,Male
Timur Bekmambetov,4962,Male
Walt Becker,4963,Male
Dennis Dugan,4964,Male
Sydney Pollack,4965,Male
Thor Freudenthal,4966,Male
Brian De Palma,4967,Male
Mick Jackson,4968,Male
Alan J. Pakula,4969,Male
Kathryn Bigelow,4970,Female
John Milius,4971,Male
Andrei Konchalovsky,4972,Male
Gary Ross,4973,Male
Paul W.S. Anderson,4974,Male
Kevin Lima,4976,Male
Daniel Espinosa,4977,Male
Nancy Meyers,4978,Female
Jill Culton,4979,Female
Neil Burger,4980,Male
Jean-Jacques Annaud,4981,Male
Barry Cook,4982,Male
Martin Brest,4983,Male
Andrew Davis,4984,Male
Tarsem Singh,4986,Male
Edgar Wright,4987,Male
Jon Amiel,4988,Male
Peter Segal,4989,Male
George A. Romero,4991,Male
Sylvester Stallone,4992,Male
Todd Phillips,4993,Male
Karey Kirkpatrick,4994,Male
Gary Winick,4995,Male
Mimi Leder,4996,Female
Seth Gordon,4997,Male
Adam Shankman,4998,Male
D.J. Caruso,4999,Male
Anthony Minghella,5000,Male
Albert Hughes,5001,Male
Joe Pytka,5003,Male
Scott Derrickson,5004,Male
Ivan Reitman,5005,Male
Eric Brevig,5006,Male
Kelly Asbury,5007,Male
Stephen Hopkins,5008,Male
Jonathan Demme,5009,Male
Henry Jaglom,5010,Male
James Algar,5011,Male
Steven Brill,5013,Male
Terry Gilliam,5014,Male
Roger Christian,5016,Male
Joe Dante,5017,Male
Kevin Costner,5018,Male
Antony Hoffman,5019,Male
Jacques Perrin,5020,Male
Roger Allers,5022,Male
Cody Cameron,5023,Male
John Singleton,5024,Male
Oliver Hirschbiegel,5025,Male
Des McAnuff,5026,Male
Stephen Norrington,5028,Male
Pierre Coffin,5029,Male
David Kellogg,5030,Male
Mike Nichols,5031,Male
Vicky Jenson,5032,Female
F. Gary Gray,5033,Male
Antoine Fuqua,5034,Male
Robert Luketic,5035,Male
Gil Kenan,5036,Male
Barry Levinson,5037,Male
Jerry Zucker,5038,Male
Andy Tennant,5039,Male
Gary Goldman,5041,Male
Ron Shelton,5042,Male
Àlex Pastor,5043,Male
Henry Selick,5044,Male
Judd Apatow,5047,Male
Steve Carr,5048,Male
Mel Gibson,5049,Male
David Silverman,5050,Male
Frank Darabont,5051,Male
Betty Thomas,5052,Female
Garry Marshall,5053,Male
Clark Johnson,5055,Male
Cameron Crowe,5056,Male
Randall Wallace,5057,Male
Jonathan Frakes,5058,Male
George Clooney,5059,Male
Andrzej Bartkowiak,5061,Male
Måns Mårlind,5062,Male
Gregory Hoblit,5063,Male
Mikael Salomon,5066,Male
Bobby Farrelly,5067,Male
Kerry Conran,5069,Male
Michael Caton-Jones,5070,Male
Phil Alden Robinson,5072,Male
David Slade,5073,Male
Joseph Ruben,5074,Male
Seth MacFarlane,5075,Male
Alejandro Amenábar,5076,Male
Rob Bowman,5079,Male
Scott Waugh,5081,Male
Lawrence Kasdan,5082,Male
Michael Lembeck,5083,Male
Tom Hooper,5084,Male
Angelina Jolie,5086,Female
Clint Eastwood,5087,Male
Larry Charles,5088,Male
Stanley Kubrick,5089,Male
Will Gluck,5090,Male
Glenn Ficarra,5091,Male
David S. Goyer,5092,Male
Michael Lehmann,5094,Male
Roman Polanski,5096,Male
Baltasar Kormákur,5098,Male
Daniel Lee,5099,Male
Keenen Ivory Wayans,5100,Male
Rob Reiner,5101,Male
Marco Schnabel,5102,Male
Demian Lichtenstein,5103,Male
Josh Gordon,5104,Male
Tim Hill,5105,Male
David Frankel,5106,Male
Marc Lawrence,5107,Male
Peter Billingsley,5108,Male
Ryan Murphy,5110,Male
Robert Redford,5111,Male
Jay Russell,5112,Male
Kenny Ortega,5113,Male
David McNally,5114,Male
Brian Robbins,5115,Male
Brian Levant,5116,Male
Steven Zaillian,5117,Male
Sam Fell,5118,Male
Jon Avnet,5119,Male
Kevin Donovan,5121,Male
Geoff Murphy,5122,Male
David O. Russell,5123,Male
Babak Najafi,5124,Male
Jean-Pierre Jeunet,5125,Male
Anthony Stacchi,5126,Male
John Pasquin,5128,Male
Ruben Fleischer,5129,Male
Harold Ramis,5130,Male
Kevin Macdonald,5131,Male
Donald Petrie,5132,Male
Jorge Blanco,5133,Male
Stuart Baird,5134,Male
Robert Lorenz,5136,Male
Harold Becker,5137,Male
Tony Bill,5139,Male
Rod Lurie,5140,Male
Walter Hill,5141,Male
Akiva Goldsman,5142,Male
Harald Zwart,5143,Male
Walter Salles,5144,Male
Iain Softley,5145,Male
Frank Miller,5146,Male
David Koepp,5147,Male
Uwe Boll,5148,Male
Soi Cheang,5149,Male
John Dahl,5150,Male
Tim Miller,5151,Male
Stephen Herek,5152,Male
Peter MacDonald,5153,Male
Sean Anders,5155,Male
Brian Taylor,5156,Male
Kevin Bray,5158,Male
Mike Gabriel,5159,Male
Sam Weisman,5160,Male
Jesse Dylan,5161,Male
Gabriele Muccino,5163,Male
Tom Dey,5164,Male
Jimmy Hayward,5165,Male
Alan Parker,5166,Male
John Frankenheimer,5167,Male
Paul King,5168,Male
Akiva Schaffer,5169,Male
Kent Alterman,5171,Male
Peter Lord,5172,Male
Shekhar Kapur,5173,Male
Karyn Kusama,5174,Female
Ronald F. Maxwell,5175,Male
Robert Butler,5176,Male
Steve Antin,5177,Male
Jim Gillespie,5178,Male
Francis Ford Coppola,5179,Male
Scott Cooper,5181,Male
Curtis Hanson,5182,Male
Phyllida Lloyd,5183,Female
Jay Chandrasekhar,5184,Male
Terrence Malick,5185,Male
David Dobkin,5186,Male
Miloš Forman,5187,Male
Pierre Morel,5188,Male
Paul Hunter,5189,Male
Steve Oedekerk,5190,Male
John Whitesell,5191,Male
George Nolfi,5192,Male
Spike Lee,5195,Male
Brian Helgeland,5196,Male
Frank Marshall,5197,Male
Hideo Nakata,5198,Male
Peter Hewitt,5199,Male
Bennett Miller,5201,Male
Jaume Collet-Serra,5202,Male
Andy Fickman,5203,Male
James McTeigue,5204,Male
Matthew O'Callaghan,5205,Male
Angela Robinson,5206,Female
Gary Fleder,5207,Male
Tommy Wirkola,5208,Male
Adrian Lyne,5209,Male
Stephen Gaghan,5210,Male
Richard Loncraine,5212,Male
Christophe Gans,5213,Male
Howard Deutch,5214,Male
Jon Hurwitz,5215,Male
Steven Quale,5216,Male
John Landis,5217,Male
Alexander Witt,5218,Male
Beeban Kidron,5219,Female
Steven Seagal,5221,Male
Danny Boyle,5222,Male
Barbet Schroeder,5224,Male
Peter Webber,5225,Male
Andrew Niccol,5226,Male
John Carpenter,5227,Male
Wes Anderson,5228,Male
David Cronenberg,5229,Male
John Stockwell,5230,Male
David Gordon Green,5231,Male
Jim Sheridan,5232,Male
Patrick Read Johnson,5234,Male
Richard LaGravenese,5235,Male
Danny DeVito,5236,Male
James Wong,5239,Male
Richard Curtis,5240,Male
Chuck Bowman,5241,Male
Olivier Megaton,5242,Male
Deepa Mehta,5243,Female
Warren Beatty,5244,Male
Penny Marshall,5245,Female
Ted Kotcheff,5246,Male
Andrei Tarkovsky,5247,Male
P.J. Hogan,5250,Male
Brad Furman,5251,Male
Terence Young,5252,Male
David Zucker,5253,Male
Denis Villeneuve,5254,Male
Thomas Carter,5255,Male
Roger Michell,5256,Male
Luis Llosa,5257,Male
Melville Shavelson,5258,Male
Garth Jennings,5259,Male
Joel Zwick,5260,Male
Russell Mulcahy,5261,Male
David R. Ellis,5262,Male
Peter Howitt,5263,Male
John A. Davis,5264,Male
David Lynch,5265,Male
Julie Taymor,5266,Female
Mathieu Kassovitz,5267,Male
John Gray,5268,Male
John Schultz,5269,Male
Sean Penn,5270,Male
Susan Stroman,5271,Female
Billy Bob Thornton,5273,Male
Danny Pang,5274,Male
George P. Cosmatos,5275,Male
Oliver Parker,5276,Male
Lawrence Kasanoff,5277,Male
Ben Affleck,5278,Male
Brian Gibson,5279,Male
Ben Sharpsteen,5280,Male
Michael Cimino,5281,Male
Gus Van Sant,5283,Male
Roger Kumble,5284,Male
Nick Park,5286,Male
John Hamburg,5287,Male
Reginald Hudlin,5288,Male
Joseph L. Mankiewicz,5289,Male
Mark Pellington,5291,Male
John Glen,5292,Male
Catherine Hardwicke,5293,Female
John Herzfeld,5294,Male
Julie Anne Robinson,5296,Female
Seth Rogen,5297,Male
Sngmoo Lee,5298,Male
Jamel Debbouze,5299,Male
John G. Avildsen,5302,Male
Anne Fletcher,5303,Female
Bruce Beresford,5304,Male
Sam Taylor-Johnson,5305,Female
Wes Craven,5307,Male
Nick Cassavetes,5309,Male
Nicholas Stoller,5310,Male
Nimród Antal,5313,Male
Alejandro Agresti,5314,Male
Peter Hedges,5315,Male
Paul Weiland,5316,Male
Colin Strause,5317,Male
Joan Chen,5318,Female
Greg Mottola,5319,Male
Jake Kasdan,5320,Male
Diane Keaton,5321,Female
Kelly Makin,5322,Male
Stephen Daldry,5323,Male
Christian Duguay,5324,Male
Justin Chadwick,5325,Male
Pat O'Connor,5326,Male
Frederik Du Chau,5327,Male
Irwin Winkler,5328,Male
Joseph Kahn,5329,Male
Sofia Coppola,5330,Female
Stephen T. Kay,5331,Male
Juan Antonio Bayona,5332,Male
Elaine May,5333,Female
Dennie Gordon,5334,Female
Charles Shyer,5335,Male
Ulu Grosbard,5336,Male
William Malone,5337,Male
Malcolm D. Lee,5338,Male
Jerry Jameson,5339,Male
Mic Rodgers,5340,Male
Christian Alvart,5341,Male
Jean-Marie Poiré,5342,Male
Marc F. Adler,5343,Male
Geoffrey Sax,5344,Male
Richard Shepard,5345,Male
Peter Chan,5346,Male
Sergei Bodrov Jr.,5347,Male
Bong Joon-ho,5348,Male
Bibo Bergeron,5349,Male
Jeff Nathanson,5350,Male
S.S. Rajamouli,5351,Male
Charles S. Dutton,5352,Male
Jonathan Lynn,5353,Male
David Carson,5354,Male
Wong Kar-wai,5355,Male
Norman Jewison,5357,Male
David Mirkin,5358,Male
Lee Daniels,5360,Male
Jeb Stuart,5361,Male
Steve Miner,5362,Male
Paul Thomas Anderson,5363,Male
David Leland,5364,Male
J Blakeson,5365,Male
Ryan Coogler,5366,Male
Jennifer Flackett,5368,Female
Kevin Smith,5369,Male
Christian Ditter,5370,Male
Charles Martin Smith,5371,Male
Fyodor Bondarchuk,5372,Male
Irvin Kershner,5373,Male
Steve Pink,5374,Male
Scott Hicks,5375,Male
Kirk De Micco,5376,Male
Chris Rock,5377,Male
Wilson Yip,5378,Male
Robert Wise,5379,Male
Kevin Rodney Sullivan,5380,Male
Kevin Munroe,5381,Male
Mike Tollin,5382,Male
Patrick Tatopoulos,5383,Male
Gary David Goldberg,5384,Male
Tobe Hooper,5385,Male
Alan Poul,5386,Male
Luke Greenfield,5387,Male
Gil Junger,5388,Male
Michael Ritchie,5389,Male
Steven E. de Souza,5390,Male
Alexandre Aja,5391,Male
Michael Rymer,5392,Male
Hugh Wilson,5393,Male
Chris Carter,5397,Male
Tommy O'Haver,5398,Male
Gary Chapman,5400,Male
Craig Mazin,5401,Male
Allen Hughes,5402,Male
Peter Yates,5404,Male
Lasse Hallström,5405,Male
Jean-Marc Vallée,5406,Male
Tsui Hark,5407,Male
Bille August,5410,Male
Moustapha Akkad,5411,Male
Jean-Paul Rappeneau,5412,Male
Tony Kaye,5414,Male
Hugh Johnson,5416,Male
Hayao Miyazaki,5417,Male
"George Tillman, Jr.",5418,Male
Rand Ravich,5419,Male
Hugh Hudson,5420,Male
Ben Stassen,5421,Male
Chris Gorak,5422,Male
Scott Speer,5423,Male
Joe Charbanic,5424,Male
Jonathan Hensleigh,5425,Male
Danny Cannon,5426,Male
Boaz Yakin,5427,Male
Richard Marquand,5428,Male
Neil Marshall,5429,Male
David Wain,5430,Male
Jared Hess,5431,Male
Rupert Wainwright,5432,Male
John Luessenhop,5433,Male
Justin Zackham,5434,Male
John Gatins,5435,Male
Miguel Sapochnik,5436,Male
Shim Hyung-Rae,5437,Male
Don Scardino,5438,Male
Tim Robbins,5439,Male
Tom Reeve,5440,Male
Nanette Burstein,5441,Female
Ariel Vromen,5442,Male
Lewis Gilbert,5443,Male
John Francis Daley,5444,Male
Michael Sucsy,5446,Male
Tom Vaughan,5447,Male
Stephen Hillenburg,5448,Male
Jason Reitman,5450,Male
Jonathan Levine,5452,Male
Rian Johnson,5453,Male
Chris Noonan,5454,Male
Michael McCullers,5455,Male
Forest Whitaker,5456,Male
Woody Allen,5457,Male
Ted Demme,5459,Male
William Shatner,5460,Male
James Gartner,5461,Male
Lee Toland Krieger,5462,Male
Tim McCanlies,5463,Male
Drew Goddard,5464,Male
Jason Friedberg,5465,Male
Paul Michael Glaser,5466,Male
John R. Leonetti,5467,Male
Tom Hanks,5468,Male
Liz Friedlander,5470,Female
Phil Joanou,5471,Male
Shane Acker,5472,Male
Martha Coolidge,5473,Female
Troy Miller,5475,Male
Tate Taylor,5476,Male
Nick Hurran,5479,Male
Charles Stone III,5480,Male
Paul Haggis,5481,Male
Kurt Wimmer,5482,Male
Kevin Hooks,5484,Male
Ellory Elkayem,5485,Male
Niki Caro,5486,Female
Vincenzo Natali,5487,Male
Willard Huyck,5488,Male
Gavin O'Connor,5489,Male
Bruce Hunt,5490,Male
Christopher Roberts,5491,Male
Nick Hamm,5493,Male
Andy Cadiff,5494,Male
Richard J. Lewis,5496,Male
Sergio Leone,5497,Male
Niels Arden Oplev,5498,Male
Michael Radford,5499,Male
Steve Boyum,5500,Male
Chen Kaige,5501,Male
Andrew Dominik,5503,Male
Jackie Chan,5504,Male
Reinhard Klooss,5506,Male
Frédéric Auburtin,5507,Male
Olivier Dahan,5508,Male
Liliana Cavani,5510,Female
Elizabeth Banks,5511,Female
Edward Norton,5512,Male
Ben Falcone,5513,Male
Richard Attenborough,5514,Male
Don Mancini,5515,Male
John Maybury,5516,Male
Norton Virgien,5517,Male
Miguel Arteta,5519,Male
James Gray,5520,Male
Janusz Kamiński,5521,Male
Jeff Wadlow,5523,Male
David Lean,5526,Male
Richard Eyre,5527,Male
Nicholas Meyer,5528,Male
Callie Khouri,5529,Female
Sanaa Hamri,5530,Female
Todd Graff,5531,Male
Philip Kaufman,5532,Male
Saul Dibb,5533,Male
Walter Murch,5534,Male
Richard Linklater,5535,Male
Menno Meyjes,5537,Male
Jodie Foster,5538,Female
Scott Frank,5539,Male
Kevin Allen,5540,Male
Michael Cristofer,5541,Male
Andrew Morahan,5542,Male
Bob Rafelson,5543,Male
Michael Cohn,5544,Male
Alan Shapiro,5545,Male
Fernando Meirelles,5546,Male
Michael Hoffman,5547,Male
Michael Winterbottom,5549,Male
Michael Pressman,5550,Male
Sharon Maguire,5551,Female
Charles Herman-Wurmfeld,5552,Male
Gábor Csupó,5553,Male
Tyler Perry,5554,Male
Joe Carnahan,5555,Male
John Polson,5556,Male
Bernardo Bertolucci,5557,Male
Cathy Malkasian,5558,Female
Chris Nahon,5559,Male
Fred Wolf,5560,Male
Victor Salva,5562,Male
Mark Helfrich,5563,Male
Steve Bendelack,5564,Male
Guillaume Canet,5566,Male
Kirsten Sheridan,5567,Female
Bob Spiers,5569,Male
Damien Dante Wayans,5570,Male
John Wells,5571,Male
Nigel Cole,5573,Male
Dexter Fletcher,5574,Male
Jeremy Leven,5575,Male
Sylvain White,5576,Male
Troy Nixey,5577,Male
Philip G. Atwell,5578,Male
Jeff Schaffer,5579,Male
James Bridges,5580,Male
Steve Barron,5581,Male
Bill Paxton,5582,Male
Richard Kelly,5583,Male
John Schlesinger,5585,Male
Ringo Lam,5586,Male
Bruce McCulloch,5587,Male
Pascal Chaumeil,5589,Male
Jonathan Kaplan,5590,Male
Ole Bornedal,5591,Male
Richard Benjamin,5592,Male
Craig R. Baxley,5593,Male
John Hillcoat,5594,Male
John Guillermin,5595,Male
Marcos Siega,5596,Male
Rachel Talalay,5597,Female
Atom Egoyan,5599,Male
Robert Towne,5600,Male
Werner Herzog,5602,Male
Inna Evlannikova,5604,Female
Jonathan English,5605,Male
Sergey Bondarchuk,5606,Male
Mario Van Peebles,5608,Male
Leonard Nimoy,5609,Male
Bonnie Hunt,5611,Female
Neil LaBute,5612,Male
Grant Heslov,5613,Male
George Gallo,5614,Male
Douglas McGrath,5616,Male
Kevin Spacey,5617,Male
Mary McGuckian,5619,Female
Tony Goldwyn,5620,Male
Jonathan Newman,5621,Male
Michael Dinner,5622,Male
Joseph Sargent,5623,Male
Jerry Zaks,5624,Male
Fred Durst,5625,Male
Anne Fontaine,5626,Female
Mira Nair,5628,Female
Mel Brooks,5629,Male
Russell Crowe,5630,Male
Jessie Nelson,5631,Female
Mike Bigelow,5633,Male
Daniel Sackheim,5634,Male
Deborah Kaplan,5635,Female
Fred Dekker,5637,Male
Blake Edwards,5639,Male
Christian Carion,5641,Male
Dax Shepard,5642,Male
Rowan Joffe,5643,Male
John Curran,5644,Male
Juan José Campanella,5645,Male
Trey Parker,5646,Male
Stuart Gillard,5647,Male
Katt Shea,5648,Female
Joshua Michael Stern,5649,Male
Tomas Alfredson,5650,Male
John Duigan,5651,Male
Colin Higgins,5652,Male
Jim Sonzero,5653,Male
Jeff Tremaine,5655,Male
Jeannot Szwarc,5656,Male
Steve McQueen,5657,Male
Thea Sharrock,5658,Female
Jon Lucas,5659,Male
Ava DuVernay,5661,Female
Jun Falkenstein,5664,Female
Takashi Shimizu,5666,Male
Gary Nelson,5667,Male
Anton Corbijn,5668,Male
Gregory Nava,5669,Male
John Patrick Shanley,5670,Male
Joshua Logan,5671,Male
Steve Beck,5672,Male
Todd Strauss-Schulson,5673,Male
John McNaughton,5674,Male
Nelson McCormick,5675,Male
Andrew Fleming,5677,Male
Michael Spierig,5678,Male
Jim Field Smith,5679,Male
Thomas Bezucha,5680,Male
William Brent Bell,5681,Male
Ben Gluck,5682,Male
Jessica Bendinger,5683,Female
Henry Joost,5684,Male
Ed Harris,5685,Male
Alfred Hitchcock,5686,Male
Steve Rash,5688,Male
Mike Binder,5689,Male
Michael J. Bassett,5690,Male
Frank Nissen,5691,Male
Stephen Chow,5692,Male
Peter Hastings,5693,Male
Paul Abascal,5694,Male
Chris Koch,5695,Male
Amy Heckerling,5696,Female
Michael Moore,5697,Male
George Stevens,5698,Male
Billy Ray,5699,Male
Mark Mylod,5700,Male
Michael O. Sajbel,5702,Male
Charles T. Kanganis,5703,Male
Damon Santostefano,5704,Male
Bob Clark,5705,Male
Frank Passingham,5706,Male
Glen Morgan,5708,Male
Mike Leigh,5709,Male
Jonathan Glazer,5711,Male
Paul Gross,5713,Male
Marc Abraham,5714,Male
Todd Haynes,5715,Male
Mabrouk El Mechri,5716,Male
Charlie Kaufman,5717,Male
Nancy Walker,5718,Female
Matthew Diamond,5720,Male
Katsuhiro Ōtomo,5721,Male
David Anspaugh,5722,Male
Andrew Jarecki,5723,Male
Daniel Algrant,5724,Male
Mike Barker,5725,Male
Mark Rosman,5731,Male
Brian Percival,5735,Male
Anand Tucker,5736,Male
Anthony Mann,5737,Male
Michael Dowse,5738,Male
Daniel Barnz,5739,Male
Emile Ardolino,5740,Male
Robert Altman,5741,Male
Andrew Douglas,5743,Male
Ricky Gervais,5744,Male
Vic Armstrong,5745,Male
Audrey Wells,5747,Female
Rick Friedberg,5748,Male
Sean McNamara,5749,Male
Jody Hill,5750,Male
Brandon Camp,5751,Male
Kevin Tancharoen,5752,Male
Nicholas Hytner,5753,Male
Bart Freundlich,5754,Male
William A. Fraker,5755,Male
John Boorman,5756,Male
Courtney Solomon,5757,Male
Jeff Kanew,5758,Male
Matthew Robbins,5760,Male
Hal Needham,5761,Male
Jeff Nichols,5762,Male
Michael Haneke,5764,Male
Zack Ward,5765,Male
Mike Marvin,5766,Male
Gregor Jordan,5767,Male
Olivier Assayas,5768,Male
Tran Anh Hung,5769,Male
Lance Hool,5770,Male
Christian Volckman,5771,Male
David Hayter,5773,Male
Cory Edwards,5774,Male
Terry George,5775,Male
Xavier Gens,5776,Male
Kasi Lemmons,5777,Female
Matt Dillon,5779,Male
Kevin Greutert,5782,Male
John Fortenberry,5783,Male
Erik White,5784,Male
Jason Moore,5786,Male
Robert Harmon,5787,Male
Trent Cooper,5788,Male
Gary Halvorson,5789,Male
Fede Alvarez,5791,Male
Sidney J. Furie,5792,Male
Wayne Kramer,5794,Male
Rowdy Herrington,5795,Male
Jim Goddard,5796,Male
Noel Marshall,5797,Male
Andrea Di Stefano,5798,Female
Guillaume Ivernel,5799,Male
Jack Smight,5800,Male
Howard Zieff,5802,Male
Steven Shainberg,5803,Male
Julian Jarrold,5804,Male
Joe Nussbaum,5805,Male
Michel Hazanavicius,5807,Male
Cyrus Nowrasteh,5808,Male
Perry Andelin Blake,5809,Male
Christian E. Christiansen,5810,Male
Sheldon Lettich,5811,Male
Diane English,5812,Female
Robert Iscove,5814,Male
Peter Kosminsky,5815,Male
Nick Gomez,5816,Male
Allen Coulter,5817,Male
Clare Kilner,5818,Female
Josef Rusnak,5819,Male
Lance Rivera,5820,Male
Ronald Neame,5821,Male
Bruce Paltrow,5822,Male
Adam Rifkin,5823,Male
Susanne Bier,5824,Female
Kenneth Johnson,5825,Male
James Ivory,5826,Male
Dany Boon,5828,Male
Gaspar Noé,5830,Male
Jérôme Salle,5831,Male
Tommy Lee Jones,5832,Male
Wayne Beach,5835,Male
Gérard Krawczyk,5836,Male
Udayan Prasad,5837,Male
Yoon Je-kyoon,5838,Male
Morten Tyldum,5839,Male
Andy Muschietti,5840,Male
Gillian Armstrong,5841,Female
Jim Fall,5843,Male
Ric Roman Waugh,5844,Male
Michael Dougherty,5845,Male
Joel Gallen,5846,Male
James Marsh,5847,Male
Matt Williams,5848,Male
Rob Zombie,5849,Male
Dennis Iliadis,5850,Male
Denzel Washington,5852,Male
Nicolas Winding Refn,5853,Male
Sara Sugarman,5854,Female
Juan Carlos Fresnadillo,5855,Male
Gina Prince-Bythewood,5856,Female
Phil Traill,5857,Male
Joe Berlinger,5858,Male
Elizabeth Allen Rosenbaum,5859,Female
Michael Mayer,5860,Male
John Ottman,5862,Male
John Bonito,5863,Male
Peter Atencio,5864,Male
Derek Cianfrance,5866,Male
Stephan Elliott,5867,Male
Mark L. Lester,5868,Male
Tom Green,5869,Male
Mike Nawrocki,5870,Male
Douglas Aarniokoski,5871,Male
Bryan Barber,5872,Male
Lone Scherfig,5873,Female
Drew Barrymore,5874,Female
Brian Koppelman,5875,Male
James Foley,5876,Male
Albert Brooks,5877,Male
Steve Gomer,5878,Male
RZA,5879,Male
Mark Piznarski,5880,Male
Craig Brewer,5881,Male
Mort Nathan,5883,Male
Dan Curtis,5884,Male
Wil Shriner,5885,Male
Martin McDonagh,5886,Male
Peter Cattaneo,5888,Male
Mary Lambert,5889,Female
Peter Kassovitz,5890,Male
Rodman Flender,5891,Male
Katja von Garnier,5892,Female
Mark Romanek,5893,Male
Brad Anderson,5894,Male
Michael Chapman,5895,Male
Antonio Banderas,5896,Male
Fritz Lang,5898,Male
Hou Hsiao-hsien,5899,Male
